label,protocol,fold,seed,object_code,direction_count,great_circle_mae_deg,theta_mae_deg,phi_mae_deg,top1_acc,theta_true_deg,phi_true_deg,great_circle_err_rect_ifft_deg,great_circle_err_hann_ifft_deg,great_circle_err_hann_minus_rect_deg,theta_err_hann_minus_rect_deg,phi_err_hann_minus_rect_deg,top1_rect_ifft,top1_hann_ifft,top1_hann_minus_rect
rect_ifft,id,0,74,bb26,10,74.61737823486328,30.0,84.0,0.3,,,,,,,,,,
rect_ifft,id,0,74,bb7c,10,12.000000762939454,0.0,12.0,0.9,,,,,,,,,,
rect_ifft,id,0,74,bb7d,10,86.53656768798828,36.0,102.0,0.2,,,,,,,,,,
rect_ifft,id,0,74,bbc6,10,39.458723831176755,12.0,33.0,0.5,,,,,,,,,,
rect_ifft,id,0,74,bc2c,10,89.92546310424805,24.0,123.0,0.1,,,,,,,,,,
rect_ifft,id,0,75,b7c1,10,12.000000762939454,0.0,12.0,0.9,,,,,,,,,,
rect_ifft,id,0,75,b7fd,10,48.354232215881346,18.0,39.0,0.4,,,,,,,,,,
rect_ifft,id,0,75,b80b,10,18.0,0.0,18.0,0.9,,,,,,,,,,
rect_ifft,id,0,75,b812,10,18.0,0.0,18.0,0.9,,,,,,,,,,
rect_ifft,id,0,75,b827,10,18.0,0.0,18.0,0.9,,,,,,,,,,
rect_ifft,id,0,75,b871,10,36.0,0.0,36.0,0.8,,,,,,,,,,
rect_ifft,id,0,75,b8ed,10,27.71807746887207,0.0,42.0,0.7,,,,,,,,,,
rect_ifft,id,0,75,b905,10,26.281924438476562,6.0,24.0,0.8,,,,,,,,,,
rect_ifft,id,0,75,b943,10,18.0,0.0,18.0,0.9,,,,,,,,,,
rect_ifft,id,0,75,b974,10,8.281924438476562,6.0,6.0,0.9,,,,,,,,,,
rect_ifft,id,0,75,b979,10,78.92793807983398,33.0,93.0,0.0,,,,,,,,,,
rect_ifft,id,0,75,b97b,10,33.104498291015624,12.0,30.0,0.8,,,,,,,,,,
rect_ifft,id,0,75,b9e6,10,18.00000114440918,0.0,18.0,0.8,,,,,,,,,,
rect_ifft,id,0,75,ba0f,10,95.81468811035157,33.0,90.0,0.2,,,,,,,,,,
rect_ifft,id,0,75,baa9,10,18.0,0.0,18.0,0.9,,,,,,,,,,
rect_ifft,id,0,75,bb26,10,75.15129585266114,42.0,66.0,0.2,,,,,,,,,,
rect_ifft,id,0,75,bb7c,10,6.000000381469727,0.0,6.0,0.9,,,,,,,,,,
rect_ifft,id,0,75,bb7d,10,75.32753105163575,24.0,87.0,0.4,,,,,,,,,,
rect_ifft,id,0,75,bbc6,10,29.99999885559082,6.0,36.0,0.5,,,,,,,,,,
rect_ifft,id,0,75,bc2c,10,83.50610637664795,36.0,78.0,0.2,,,,,,,,,,
rect_ifft,id,0,76,b7c1,10,22.447751617431642,6.0,21.0,0.8,,,,,,,,,,
rect_ifft,id,0,76,b7fd,10,50.09661350250244,30.0,33.0,0.3,,,,,,,,,,
rect_ifft,id,0,76,b80b,10,48.868218994140626,6.0,48.0,0.7,,,,,,,,,,
rect_ifft,id,0,76,b812,10,0.0,0.0,0.0,1.0,,,,,,,,,,
rect_ifft,id,0,76,b827,10,18.00000114440918,0.0,18.0,0.8,,,,,,,,,,
rect_ifft,id,0,76,b871,10,38.59050750732422,0.0,39.0,0.7,,,,,,,,,,
rect_ifft,id,0,76,b8ed,10,18.00000114440918,0.0,18.0,0.8,,,,,,,,,,
rect_ifft,id,0,76,b905,10,18.0,0.0,18.0,0.9,,,,,,,,,,
rect_ifft,id,0,76,b943,10,32.59050827026367,0.0,39.0,0.7,,,,,,,,,,
rect_ifft,id,0,76,b974,10,2.590509033203125,0.0,3.0,0.9,,,,,,,,,,
rect_ifft,id,0,76,b979,10,55.71505784988403,21.0,75.0,0.1,,,,,,,,,,
rect_ifft,id,0,76,b97b,10,30.224180603027342,12.0,21.0,0.8,,,,,,,,,,
rect_ifft,id,0,76,b9e6,10,18.00000114440918,0.0,18.0,0.8,,,,,,,,,,
rect_ifft,id,0,76,ba0f,10,84.54983291625976,42.0,63.0,0.2,,,,,,,,,,
rect_ifft,id,0,76,baa9,10,48.868218994140626,6.0,48.0,0.7,,,,,,,,,,
rect_ifft,id,0,76,bb26,10,68.04672975540161,36.0,60.0,0.3,,,,,,,,,,
