protocol,fold,seed,object_code,theta_true_deg,phi_true_deg,great_circle_err_rect_ifft_deg,great_circle_err_hann_ifft_deg,great_circle_err_hann_minus_rect_deg,theta_err_hann_minus_rect_deg,phi_err_hann_minus_rect_deg,top1_rect_ifft,top1_hann_ifft,top1_hann_minus_rect
id,0,70,ba0f,60.0,90.0,0.0,29.999998092651367,29.999998092651367,30.0,0.0,1.0,0.0,-1.0
id,0,70,ba0f,60.0,270.0,150.0,29.999998092651367,-120.00000190734863,0.0,-180.0,0.0,0.0,0.0
id,0,70,ba0f,90.0,150.0,180.0,30.000001907348633,-149.99999809265137,0.0,-150.0,0.0,0.0,0.0
id,0,70,ba0f,90.0,330.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
id,0,70,ba0f,120.0,30.0,0.0,25.905075073242188,25.905075073242188,0.0,30.0,1.0,0.0,-1.0
id,0,70,ba0f,120.0,210.0,120.00000762939453,82.81924438476562,-37.180763244628906,60.0,-120.0,0.0,0.0,0.0
id,0,70,ba0f,150.0,90.0,0.0,120.00000762939453,120.00000762939453,120.0,0.0,1.0,0.0,-1.0
id,0,70,ba0f,150.0,270.0,180.0,120.00000762939453,-59.99999237060547,0.0,-180.0,0.0,0.0,0.0
id,0,70,baa9,30.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,baa9,30.0,240.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,baa9,60.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,baa9,60.0,300.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,baa9,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,baa9,90.0,180.0,0.0,180.0,180.0,0.0,180.0,1.0,0.0,-1.0
id,0,70,baa9,120.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,baa9,120.0,240.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,baa9,150.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,baa9,150.0,300.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,bb26,30.0,90.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
id,0,70,bb26,30.0,270.0,0.0,180.0,180.0,120.0,180.0,1.0,0.0,-1.0
id,0,70,bb26,60.0,150.0,82.81924438476562,180.0,97.18075561523438,0.0,120.0,0.0,0.0,0.0
id,0,70,bb26,60.0,330.0,51.31782150268555,82.81924438476562,31.501422882080078,60.0,0.0,0.0,0.0,0.0
id,0,70,bb26,90.0,30.0,120.00000762939453,60.00000762939453,-60.0,0.0,-60.0,0.0,0.0,0.0
id,0,70,bb26,90.0,210.0,60.000003814697266,120.00000762939453,60.000003814697266,0.0,60.0,0.0,0.0,0.0
id,0,70,bb26,120.0,90.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
id,0,70,bb26,120.0,270.0,60.000003814697266,0.0,-60.000003814697266,-60.0,0.0,0.0,1.0,1.0
id,0,70,bb26,150.0,150.0,60.000003814697266,14.870942115783691,-45.129061698913574,0.0,-150.0,0.0,0.0,0.0
id,0,70,bb26,150.0,330.0,128.68218994140625,0.0,-128.68218994140625,-120.0,-60.0,0.0,1.0,1.0
id,0,70,bb7c,30.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,bb7c,30.0,300.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,bb7c,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,bb7c,60.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,bb7c,90.0,60.0,30.000001907348633,0.0,-30.000001907348633,0.0,-30.0,0.0,1.0,1.0
id,0,70,bb7c,90.0,240.0,120.00000762939453,180.0,59.99999237060547,0.0,60.0,0.0,0.0,0.0
id,0,70,bb7c,120.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,bb7c,120.0,300.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,bb7c,150.0,0.0,0.0,29.99998664855957,29.99998664855957,30.0,0.0,1.0,0.0,-1.0
