partition,method,object_code,count,great_circle_mean_deg,great_circle_median_deg,great_circle_p90_deg,top1_acc,failure_rate_gt_30_deg,failure_rate_gt_60_deg,failure_rate_gt_90_deg
held,operational_6ch_range_phase_invariant_1nn,b7fd,60,58.05654215844066,50.70481105463543,149.99999999999997,0.35,0.6166666666666667,0.45,0.2833333333333333
held,operational_6ch_range_phase_invariant_1nn,b80b,60,4.880320736975696,0.0,0.0,0.95,0.05,0.03333333333333333,0.016666666666666666
held,operational_6ch_range_phase_invariant_1nn,b812,60,3.5,0.0,0.0,0.9166666666666666,0.03333333333333333,0.016666666666666666,0.016666666666666666
held,operational_6ch_range_phase_invariant_1nn,b827,60,18.482236415805165,0.0,113.54811559342484,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.11666666666666667
held,operational_6ch_range_phase_invariant_1nn,b871,60,12.880320736975698,0.0,59.99999999999999,0.8166666666666667,0.16666666666666666,0.08333333333333333,0.03333333333333333
held,operational_6ch_range_phase_invariant_1nn,b8ed,60,30.240931881593117,0.0,128.68218745348943,0.7,0.2833333333333333,0.21666666666666667,0.16666666666666666
held,operational_6ch_range_phase_invariant_1nn,b905,60,12.050047722401038,0.0,82.81924421854171,0.8666666666666667,0.11666666666666667,0.1,0.05
held,operational_6ch_range_phase_invariant_1nn,b943,60,14.473892359922868,0.0,75.52248781407009,0.8333333333333334,0.15,0.11666666666666667,0.06666666666666667
held,operational_6ch_range_phase_invariant_1nn,b974,60,11.735617612750872,0.0,82.81924421854174,0.8666666666666667,0.13333333333333333,0.1,0.06666666666666667
held,operational_6ch_range_phase_invariant_1nn,b979,60,73.13513315585948,79.1708660163059,149.99999999999997,0.2833333333333333,0.6833333333333333,0.5166666666666667,0.43333333333333335
held,operational_6ch_range_phase_invariant_1nn,b97b,60,23.30796917486328,0.0,115.6589062732553,0.8,0.2,0.2,0.13333333333333333
held,operational_6ch_range_phase_invariant_1nn,b9e6,60,9.331059692346912,0.0,29.999999999999996,0.8833333333333333,0.08333333333333333,0.08333333333333333,0.03333333333333333
held,operational_6ch_range_phase_invariant_1nn,ba0f,60,72.88481302448575,64.34109372674473,128.68218745348946,0.23333333333333334,0.7333333333333333,0.5333333333333333,0.36666666666666664
held,operational_6ch_range_phase_invariant_1nn,baa9,60,4.380320736975695,0.0,0.0,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.016666666666666666
held,operational_6ch_range_phase_invariant_1nn,bb26,60,69.10386622612927,69.9317907704074,151.04497562814015,0.25,0.7,0.5333333333333333,0.3333333333333333
