label,protocol,fold,seed,object_code,direction_count,great_circle_mae_deg,theta_mae_deg,phi_mae_deg,top1_acc
frequency,id,0,76,b80b,10,18.0,0.0,18.0,0.9
frequency,id,0,76,b812,10,0.0,0.0,0.0,1.0
frequency,id,0,76,b827,10,0.0,0.0,0.0,1.0
frequency,id,0,76,b871,10,18.0,0.0,18.0,0.9
frequency,id,0,76,b8ed,10,12.000000762939454,0.0,12.0,0.8
frequency,id,0,76,b905,10,29.354812622070312,0.0,33.0,0.8
frequency,id,0,76,b943,10,20.59050750732422,0.0,21.0,0.8
frequency,id,0,76,b974,10,18.0,0.0,18.0,0.9
frequency,id,0,76,b979,10,59.95521926879883,24.0,57.0,0.1
frequency,id,0,76,b97b,10,18.0,0.0,18.0,0.9
frequency,id,0,76,b9e6,10,17.999999618530275,0.0,18.0,0.8
frequency,id,0,76,ba0f,10,79.50125350952149,51.0,57.0,0.2
frequency,id,0,76,baa9,10,18.0,0.0,18.0,0.9
frequency,id,0,76,bb26,10,88.66240348815919,42.0,81.0,0.2
frequency,id,0,76,bb7c,10,18.00000114440918,0.0,18.0,0.8
frequency,id,0,76,bb7d,10,94.91382369995117,39.0,87.0,0.3
frequency,id,0,76,bbc6,10,47.77581596374512,12.0,51.0,0.3
frequency,id,0,76,bc2c,10,70.51291027069092,24.0,99.0,0.1
frequency,outer1,1,70,b827,60,20.154549407958985,5.0,16.5,0.8
frequency,outer1,1,70,b871,60,20.289407285054526,2.0,20.0,0.85
frequency,outer1,1,70,b905,60,15.076455084482829,1.0,15.0,0.85
frequency,outer1,1,70,bb7d,60,86.45924123128255,45.5,81.5,0.16666666666666666
frequency,outer1,1,70,bbc6,60,50.25366415977478,23.0,45.0,0.4666666666666667
frequency,outer1,1,71,b827,60,29.73502984046936,8.0,24.5,0.7
frequency,outer1,1,71,b871,60,25.662119960784914,5.0,24.0,0.8
frequency,outer1,1,71,b905,60,26.025024541219075,4.0,25.5,0.8
frequency,outer1,1,71,bb7d,60,90.57338447570801,47.5,84.5,0.15
frequency,outer1,1,71,bbc6,60,54.303191884358725,24.0,49.0,0.45
frequency,outer1,1,72,b827,60,20.23561814626058,4.0,17.0,0.8166666666666667
frequency,outer1,1,72,b871,60,16.144703737894694,1.0,16.0,0.8666666666666667
frequency,outer1,1,72,b905,60,15.000000445048014,0.0,17.0,0.8666666666666667
frequency,outer1,1,72,bb7d,60,90.71018582979838,47.5,88.5,0.16666666666666666
frequency,outer1,1,72,bbc6,60,53.03204023043315,22.0,47.5,0.5166666666666667
