arm,arm_display,true_index,pred_index,theta_true_deg,phi_true_deg,theta_pred_deg,phi_pred_deg,count,true_direction_total,row_rate
frequency,Frequency MLP,1,31,30.0,30.0,90.0,210.0,0,140,0.0
frequency,Frequency MLP,1,32,30.0,30.0,90.0,240.0,0,140,0.0
frequency,Frequency MLP,1,33,30.0,30.0,90.0,270.0,0,140,0.0
frequency,Frequency MLP,1,34,30.0,30.0,90.0,300.0,0,140,0.0
frequency,Frequency MLP,1,35,30.0,30.0,90.0,330.0,0,140,0.0
frequency,Frequency MLP,1,36,30.0,30.0,120.0,0.0,0,140,0.0
frequency,Frequency MLP,1,37,30.0,30.0,120.0,30.0,3,140,0.02142857142857143
frequency,Frequency MLP,1,38,30.0,30.0,120.0,60.0,0,140,0.0
frequency,Frequency MLP,1,39,30.0,30.0,120.0,90.0,0,140,0.0
frequency,Frequency MLP,1,40,30.0,30.0,120.0,120.0,0,140,0.0
frequency,Frequency MLP,1,41,30.0,30.0,120.0,150.0,0,140,0.0
frequency,Frequency MLP,1,42,30.0,30.0,120.0,180.0,0,140,0.0
frequency,Frequency MLP,1,43,30.0,30.0,120.0,210.0,0,140,0.0
frequency,Frequency MLP,1,44,30.0,30.0,120.0,240.0,0,140,0.0
frequency,Frequency MLP,1,45,30.0,30.0,120.0,270.0,0,140,0.0
frequency,Frequency MLP,1,46,30.0,30.0,120.0,300.0,0,140,0.0
frequency,Frequency MLP,1,47,30.0,30.0,120.0,330.0,0,140,0.0
frequency,Frequency MLP,1,48,30.0,30.0,150.0,0.0,0,140,0.0
frequency,Frequency MLP,1,49,30.0,30.0,150.0,30.0,2,140,0.014285714285714285
frequency,Frequency MLP,1,50,30.0,30.0,150.0,60.0,0,140,0.0
frequency,Frequency MLP,1,51,30.0,30.0,150.0,90.0,0,140,0.0
frequency,Frequency MLP,1,52,30.0,30.0,150.0,120.0,0,140,0.0
frequency,Frequency MLP,1,53,30.0,30.0,150.0,150.0,2,140,0.014285714285714285
frequency,Frequency MLP,1,54,30.0,30.0,150.0,180.0,0,140,0.0
frequency,Frequency MLP,1,55,30.0,30.0,150.0,210.0,0,140,0.0
frequency,Frequency MLP,1,56,30.0,30.0,150.0,240.0,0,140,0.0
frequency,Frequency MLP,1,57,30.0,30.0,150.0,270.0,0,140,0.0
frequency,Frequency MLP,1,58,30.0,30.0,150.0,300.0,0,140,0.0
frequency,Frequency MLP,1,59,30.0,30.0,150.0,330.0,6,140,0.04285714285714286
frequency,Frequency MLP,2,0,30.0,60.0,30.0,0.0,0,140,0.0
frequency,Frequency MLP,2,1,30.0,60.0,30.0,30.0,0,140,0.0
frequency,Frequency MLP,2,2,30.0,60.0,30.0,60.0,103,140,0.7357142857142858
frequency,Frequency MLP,2,3,30.0,60.0,30.0,90.0,1,140,0.007142857142857143
frequency,Frequency MLP,2,4,30.0,60.0,30.0,120.0,0,140,0.0
frequency,Frequency MLP,2,5,30.0,60.0,30.0,150.0,0,140,0.0
frequency,Frequency MLP,2,6,30.0,60.0,30.0,180.0,0,140,0.0
frequency,Frequency MLP,2,7,30.0,60.0,30.0,210.0,0,140,0.0
frequency,Frequency MLP,2,8,30.0,60.0,30.0,240.0,1,140,0.007142857142857143
frequency,Frequency MLP,2,9,30.0,60.0,30.0,270.0,4,140,0.02857142857142857
frequency,Frequency MLP,2,10,30.0,60.0,30.0,300.0,1,140,0.007142857142857143
frequency,Frequency MLP,2,11,30.0,60.0,30.0,330.0,0,140,0.0
frequency,Frequency MLP,2,12,30.0,60.0,60.0,0.0,0,140,0.0
frequency,Frequency MLP,2,13,30.0,60.0,60.0,30.0,0,140,0.0
frequency,Frequency MLP,2,14,30.0,60.0,60.0,60.0,0,140,0.0
frequency,Frequency MLP,2,15,30.0,60.0,60.0,90.0,0,140,0.0
frequency,Frequency MLP,2,16,30.0,60.0,60.0,120.0,0,140,0.0
frequency,Frequency MLP,2,17,30.0,60.0,60.0,150.0,0,140,0.0
frequency,Frequency MLP,2,18,30.0,60.0,60.0,180.0,0,140,0.0
frequency,Frequency MLP,2,19,30.0,60.0,60.0,210.0,0,140,0.0
frequency,Frequency MLP,2,20,30.0,60.0,60.0,240.0,0,140,0.0
frequency,Frequency MLP,2,21,30.0,60.0,60.0,270.0,0,140,0.0
frequency,Frequency MLP,2,22,30.0,60.0,60.0,300.0,0,140,0.0
frequency,Frequency MLP,2,23,30.0,60.0,60.0,330.0,0,140,0.0
frequency,Frequency MLP,2,24,30.0,60.0,90.0,0.0,0,140,0.0
frequency,Frequency MLP,2,25,30.0,60.0,90.0,30.0,0,140,0.0
frequency,Frequency MLP,2,26,30.0,60.0,90.0,60.0,0,140,0.0
frequency,Frequency MLP,2,27,30.0,60.0,90.0,90.0,0,140,0.0
frequency,Frequency MLP,2,28,30.0,60.0,90.0,120.0,0,140,0.0
frequency,Frequency MLP,2,29,30.0,60.0,90.0,150.0,0,140,0.0
frequency,Frequency MLP,2,30,30.0,60.0,90.0,180.0,0,140,0.0
frequency,Frequency MLP,2,31,30.0,60.0,90.0,210.0,0,140,0.0
frequency,Frequency MLP,2,32,30.0,60.0,90.0,240.0,0,140,0.0
