arm,arm_display,entity_type,entity,object_code,theta_true_deg,phi_true_deg,prediction_rows,tail_gt90_count,tail_gt90_rate,tail_ge150_rate,exact_antipodal_rate,tail_rank,share_of_arm_tail
rect_ifft,Rect-IFFT MLP,direction,t030_p240,,30.0,240.0,140,24,0.17142857142857143,0.11428571428571428,0.007142857142857143,29,0.01444043321299639
rect_ifft,Rect-IFFT MLP,direction,t060_p150,,60.0,150.0,140,23,0.16428571428571428,0.04285714285714286,0.02142857142857143,30,0.013838748495788207
rect_ifft,Rect-IFFT MLP,direction,t150_p330,,150.0,330.0,140,23,0.16428571428571428,0.05,0.0,31,0.013838748495788207
rect_ifft,Rect-IFFT MLP,direction,t150_p120,,150.0,120.0,140,22,0.15714285714285714,0.05,0.0,32,0.013237063778580024
rect_ifft,Rect-IFFT MLP,direction,t060_p000,,60.0,0.0,140,21,0.15,0.05714285714285714,0.05714285714285714,33,0.01263537906137184
rect_ifft,Rect-IFFT MLP,direction,t060_p060,,60.0,60.0,140,21,0.15,0.007142857142857143,0.0,34,0.01263537906137184
rect_ifft,Rect-IFFT MLP,direction,t060_p090,,60.0,90.0,140,21,0.15,0.08571428571428572,0.05714285714285714,35,0.01263537906137184
rect_ifft,Rect-IFFT MLP,direction,t120_p090,,120.0,90.0,140,21,0.15,0.12142857142857143,0.08571428571428572,36,0.01263537906137184
rect_ifft,Rect-IFFT MLP,direction,t150_p240,,150.0,240.0,140,21,0.15,0.08571428571428572,0.014285714285714285,37,0.01263537906137184
rect_ifft,Rect-IFFT MLP,direction,t030_p270,,30.0,270.0,140,20,0.14285714285714285,0.05714285714285714,0.007142857142857143,38,0.012033694344163659
rect_ifft,Rect-IFFT MLP,direction,t060_p330,,60.0,330.0,140,20,0.14285714285714285,0.02857142857142857,0.02142857142857143,39,0.012033694344163659
rect_ifft,Rect-IFFT MLP,direction,t150_p090,,150.0,90.0,140,20,0.14285714285714285,0.12857142857142856,0.11428571428571428,40,0.012033694344163659
rect_ifft,Rect-IFFT MLP,direction,t150_p150,,150.0,150.0,140,19,0.1357142857142857,0.05714285714285714,0.0,41,0.011432009626955475
rect_ifft,Rect-IFFT MLP,direction,t150_p210,,150.0,210.0,140,19,0.1357142857142857,0.07142857142857142,0.0,42,0.011432009626955475
rect_ifft,Rect-IFFT MLP,direction,t150_p300,,150.0,300.0,140,19,0.1357142857142857,0.06428571428571428,0.0,43,0.011432009626955475
