arm,arm_display,object_code,prediction_rows,object_count,seed_count,great_circle_mean_deg,great_circle_median_deg,great_circle_p90_deg,great_circle_p95_deg,top1_acc,tail_rate_gt90_deg,tail_rate_ge150_deg,near_antipodal_rate_ge165_lt180,exact_antipodal_rate_180
hann_ifft,Hann-IFFT MLP,b871,420,1,7,21.043701258159818,0.0,97.1807632446289,180.0,0.8071428571428572,0.10952380952380952,0.06666666666666667,0.0,0.06428571428571428
hann_ifft,Hann-IFFT MLP,b8ed,420,1,7,58.72118777320499,29.99998664855957,151.04498291015625,180.0,0.4380952380952381,0.3595238095238095,0.14047619047619048,0.007142857142857143,0.06904761904761905
hann_ifft,Hann-IFFT MLP,b905,420,1,7,21.56513897123791,0.0,120.00000762939453,180.0,0.8095238095238095,0.11428571428571428,0.06428571428571428,0.0,0.05
hann_ifft,Hann-IFFT MLP,b943,420,1,7,20.816573079427084,0.0,119.99999237060547,180.0,0.8095238095238095,0.10238095238095238,0.0761904761904762,0.0,0.07380952380952381
hann_ifft,Hann-IFFT MLP,b974,420,1,7,15.513062477111816,0.0,51.31781005859375,180.0,0.8904761904761904,0.0761904761904762,0.07380952380952381,0.0,0.07380952380952381
hann_ifft,Hann-IFFT MLP,b979,420,1,7,79.73768943832034,82.81924438476562,143.9022216796875,165.12905883789062,0.12380952380952381,0.4119047619047619,0.09285714285714286,0.011904761904761904,0.0380952380952381
hann_ifft,Hann-IFFT MLP,b97b,420,1,7,41.197656545184905,0.0,180.0,180.0,0.638095238095238,0.2,0.15476190476190477,0.002380952380952381,0.12857142857142856
hann_ifft,Hann-IFFT MLP,b9e6,420,1,7,23.634279905046736,0.0,120.00000762939453,180.0,0.8119047619047619,0.1357142857142857,0.0880952380952381,0.0,0.0880952380952381
hann_ifft,Hann-IFFT MLP,ba0f,420,1,7,83.85156446638561,90.0,180.0,180.0,0.19523809523809524,0.46904761904761905,0.2,0.014285714285714285,0.10476190476190476
hann_ifft,Hann-IFFT MLP,baa9,420,1,7,3.428571455819266,0.0,0.0,0.0,0.9785714285714285,0.01904761904761905,0.016666666666666666,0.0,0.016666666666666666
hann_ifft,Hann-IFFT MLP,bb26,420,1,7,77.45492033277239,60.000003814697266,154.09490966796875,180.0,0.20238095238095238,0.3904761904761905,0.20476190476190476,0.016666666666666666,0.07857142857142857
hann_ifft,Hann-IFFT MLP,bb7c,420,1,7,29.553788457598007,0.0,120.00000762939453,180.0,0.7404761904761905,0.1380952380952381,0.09523809523809523,0.0,0.09047619047619047
hann_ifft,Hann-IFFT MLP,bb7d,420,1,7,91.04592521985371,90.0,151.04498291015625,180.0,0.12142857142857143,0.49047619047619045,0.1595238095238095,0.002380952380952381,0.06904761904761905
hann_ifft,Hann-IFFT MLP,bbc6,420,1,7,55.0564837819054,20.38800859451294,180.0,180.0,0.49523809523809526,0.28095238095238095,0.15476190476190477,0.0,0.12857142857142856
hann_ifft,Hann-IFFT MLP,bc2c,420,1,7,75.8764472461882,64.34109497070312,151.04498291015625,180.0,0.15476190476190477,0.34523809523809523,0.14523809523809525,0.023809523809523808,0.07142857142857142
strong_1nn,Deterministic 6ch 1-NN,b7c1,60,1,1,12.070481105463541,0.0,82.81924421854171,119.99999999999997,0.8666666666666667,0.05,0.016666666666666666,0.0,0.0
strong_1nn,Deterministic 6ch 1-NN,b7fd,60,1,1,55.714623410063645,41.409622109270856,138.59037789072914,151.04497562814015,0.36666666666666664,0.25,0.08333333333333333,0.0,0.016666666666666666
strong_1nn,Deterministic 6ch 1-NN,b80b,60,1,1,1.8803207369756962,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.0
strong_1nn,Deterministic 6ch 1-NN,b812,60,1,1,1.9999999999999996,0.0,0.0,29.999999999999986,0.9333333333333333,0.0,0.0,0.0,0.0
strong_1nn,Deterministic 6ch 1-NN,b827,60,1,1,10.899607454093568,0.0,59.99999999999999,128.68218745348943,0.9,0.06666666666666667,0.016666666666666666,0.0,0.0
strong_1nn,Deterministic 6ch 1-NN,b871,60,1,1,8.070481105463545,0.0,30.000000000000018,41.40962210927086,0.85,0.016666666666666666,0.016666666666666666,0.0,0.016666666666666666
strong_1nn,Deterministic 6ch 1-NN,b8ed,60,1,1,29.153917463084845,0.0,128.68218745348943,149.99999999999997,0.7166666666666667,0.18333333333333332,0.05,0.0,0.0
strong_1nn,Deterministic 6ch 1-NN,b905,60,1,1,11.050047722401038,0.0,30.000000000000018,128.68218745348943,0.8666666666666667,0.05,0.016666666666666666,0.0,0.0
strong_1nn,Deterministic 6ch 1-NN,b943,60,1,1,15.76251193060026,0.0,82.81924421854171,138.59037789072914,0.8333333333333334,0.06666666666666667,0.03333333333333333,0.0,0.016666666666666666
strong_1nn,Deterministic 6ch 1-NN,b974,60,1,1,9.190160368487847,0.0,30.000000000000018,90.0,0.9,0.03333333333333333,0.0,0.0,0.0
strong_1nn,Deterministic 6ch 1-NN,b979,60,1,1,58.95186511745393,50.704811054635435,149.99999999999997,150.0,0.36666666666666664,0.2833333333333333,0.1,0.016666666666666666,0.0
strong_1nn,Deterministic 6ch 1-NN,b97b,60,1,1,17.515545803820135,0.0,115.6589062732553,150.0,0.8333333333333334,0.1,0.06666666666666667,0.0,0.016666666666666666
strong_1nn,Deterministic 6ch 1-NN,b9e6,60,1,1,3.644703124224824,0.0,0.0,29.999999999999996,0.9333333333333333,0.016666666666666666,0.0,0.0,0.0
strong_1nn,Deterministic 6ch 1-NN,ba0f,60,1,1,73.81026632111204,62.17054686337235,150.0,179.99999999999997,0.25,0.38333333333333336,0.1,0.0,0.05
strong_1nn,Deterministic 6ch 1-NN,baa9,60,1,1,1.0000000000000002,0.0,0.0,0.0,0.9833333333333333,0.0,0.0,0.0,0.0
strong_1nn,Deterministic 6ch 1-NN,bb26,60,1,1,65.14171950288407,59.99999999999999,151.04497562814015,151.04497562814015,0.3333333333333333,0.31666666666666665,0.13333333333333333,0.0,0.016666666666666666
strong_1nn,Deterministic 6ch 1-NN,bb7c,60,1,1,8.070481105463545,0.0,30.000000000000018,60.000000000000036,0.8833333333333333,0.016666666666666666,0.016666666666666666,0.0,0.016666666666666666
strong_1nn,Deterministic 6ch 1-NN,bb7d,60,1,1,85.01482582747539,90.00000000000001,150.0,151.04497562814015,0.2,0.48333333333333334,0.13333333333333333,0.0,0.016666666666666666
strong_1nn,Deterministic 6ch 1-NN,bbc6,60,1,1,20.33112257941493,0.0,89.99999999999999,149.99999999999997,0.75,0.06666666666666667,0.05,0.0,0.016666666666666666
strong_1nn,Deterministic 6ch 1-NN,bc2c,60,1,1,55.789982596467055,50.70481105463543,151.04497562814015,179.99999999999997,0.36666666666666664,0.21666666666666667,0.1,0.03333333333333333,0.05
