pair,method_a,method_b,metric,object_code,direction_count,delta_b_minus_a
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,b9e6,60,-0.016666666666666666
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,ba0f,60,0.014285714285714287
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,baa9,60,-0.009523809523809523
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,bb26,60,0.004761904761904761
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,bb7c,60,0.00238095238095238
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,bb7d,60,0.009523809523809523
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,bbc6,60,0.011904761904761908
rect_ifft_minus_frequency,frequency,rect_ifft,near_or_exact_antipodal_ge165,bc2c,60,-0.03809523809523809
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,b7c1,60,-0.009523809523809523
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,b7fd,60,0.02142857142857143
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,b80b,60,-0.02380952380952381
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,b812,60,-0.007142857142857141
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,b827,60,-0.021428571428571425
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,b871,60,0.035714285714285705
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,b8ed,60,0.0
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,b905,60,-0.0071428571428571435
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,b943,60,-0.00238095238095238
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,b974,60,0.0023809523809523838
