arm,arm_display,phi_true_deg,prediction_rows,object_count,seed_count,great_circle_mean_deg,great_circle_median_deg,great_circle_p90_deg,great_circle_p95_deg,top1_acc,tail_rate_gt90_deg,tail_rate_ge150_deg,near_antipodal_rate_ge165_lt180,exact_antipodal_rate_180
rect_ifft,Rect-IFFT MLP,60.0,700,20,7,33.99828446796962,0.0,128.68218994140625,151.04498291015625,0.65,0.18571428571428572,0.07142857142857142,0.012857142857142857,0.024285714285714285
rect_ifft,Rect-IFFT MLP,90.0,700,20,7,45.46452897480556,0.0,180.0,180.0,0.6271428571428571,0.22428571428571428,0.1957142857142857,0.005714285714285714,0.17285714285714285
rect_ifft,Rect-IFFT MLP,120.0,700,20,7,40.3709341771262,0.0,128.6822052001953,151.04498291015625,0.6071428571428571,0.2542857142857143,0.06285714285714286,0.0014285714285714286,0.03142857142857143
rect_ifft,Rect-IFFT MLP,150.0,700,20,7,39.949417093821936,0.0,128.6822052001953,180.0,0.6214285714285714,0.21142857142857144,0.09428571428571429,0.0014285714285714286,0.06571428571428571
rect_ifft,Rect-IFFT MLP,180.0,700,20,7,29.52774374825614,0.0,120.00000762939453,180.0,0.6757142857142857,0.12428571428571429,0.09428571428571429,0.0,0.08714285714285715
rect_ifft,Rect-IFFT MLP,210.0,700,20,7,42.45274695668902,0.0,128.6822052001953,180.0,0.59,0.2257142857142857,0.09571428571428571,0.0,0.06428571428571428
rect_ifft,Rect-IFFT MLP,240.0,700,20,7,40.65636700902667,0.0,128.6822052001953,154.09490966796875,0.58,0.22428571428571428,0.08,0.018571428571428572,0.02857142857142857
rect_ifft,Rect-IFFT MLP,270.0,700,20,7,33.363148577553886,0.0,150.0,180.0,0.71,0.19142857142857142,0.11428571428571428,0.015714285714285715,0.06714285714285714
rect_ifft,Rect-IFFT MLP,300.0,700,20,7,35.25663477080209,0.0,130.50535583496094,151.04498291015625,0.6442857142857142,0.19,0.07428571428571429,0.0,0.037142857142857144
rect_ifft,Rect-IFFT MLP,330.0,700,20,7,40.449028862544466,0.0,143.9022216796875,180.0,0.6228571428571429,0.21714285714285714,0.09857142857142857,0.005714285714285714,0.06857142857142857
hann_ifft,Hann-IFFT MLP,0.0,700,20,7,42.962391597202846,0.0,180.0,180.0,0.52,0.17714285714285713,0.15142857142857144,0.0,0.10714285714285714
hann_ifft,Hann-IFFT MLP,30.0,700,20,7,36.06221327917916,0.0,128.68218994140625,180.0,0.6271428571428571,0.18571428571428572,0.08142857142857143,0.007142857142857143,0.05714285714285714
hann_ifft,Hann-IFFT MLP,60.0,700,20,7,43.14687132971628,0.0,151.04498291015625,165.12905883789062,0.62,0.2571428571428571,0.12285714285714286,0.012857142857142857,0.04857142857142857
hann_ifft,Hann-IFFT MLP,90.0,700,20,7,47.22515706334795,0.0,180.0,180.0,0.6042857142857143,0.24285714285714285,0.18428571428571427,0.012857142857142857,0.1357142857142857
hann_ifft,Hann-IFFT MLP,120.0,700,20,7,41.35833095550537,0.0,128.6822052001953,180.0,0.6142857142857143,0.24285714285714285,0.06714285714285714,0.0014285714285714286,0.054285714285714284
hann_ifft,Hann-IFFT MLP,150.0,700,20,7,50.70166145869664,0.0,151.04498291015625,180.0,0.53,0.27714285714285714,0.11428571428571428,0.008571428571428572,0.08571428571428572
hann_ifft,Hann-IFFT MLP,180.0,700,20,7,37.67347574370248,0.0,120.00000762939453,180.0,0.5514285714285714,0.14142857142857143,0.08714285714285715,0.0,0.05857142857142857
hann_ifft,Hann-IFFT MLP,210.0,700,20,7,48.30457658903939,0.0,128.6822052001953,180.0,0.5014285714285714,0.21428571428571427,0.09142857142857143,0.004285714285714286,0.05714285714285714
hann_ifft,Hann-IFFT MLP,240.0,700,20,7,41.64099946158273,0.0,128.6822052001953,151.04498291015625,0.5857142857142857,0.24285714285714285,0.07857142857142857,0.01,0.02857142857142857
hann_ifft,Hann-IFFT MLP,270.0,700,20,7,43.87129943847656,0.0,180.0,180.0,0.6285714285714286,0.24285714285714285,0.14,0.002857142857142857,0.12142857142857143
hann_ifft,Hann-IFFT MLP,300.0,700,20,7,30.243709722246443,0.0,128.68218994140625,180.0,0.6914285714285714,0.15,0.08,0.0014285714285714286,0.06571428571428571
hann_ifft,Hann-IFFT MLP,330.0,700,20,7,46.17787187303816,0.0,143.9022216796875,180.0,0.59,0.2814285714285714,0.09857142857142857,0.0014285714285714286,0.06571428571428571
strong_1nn,Deterministic 6ch 1-NN,0.0,100,20,1,23.95400795177783,0.0,90.00000000000001,120.00000000000001,0.68,0.08,0.04,0.0,0.02
strong_1nn,Deterministic 6ch 1-NN,30.0,100,20,1,24.796863274092857,0.0,119.99999999999999,128.68218745348943,0.72,0.12,0.03,0.0,0.0
strong_1nn,Deterministic 6ch 1-NN,60.0,100,20,1,34.07497539425229,0.0,138.59037789072914,151.04497562814015,0.68,0.2,0.06,0.01,0.0
strong_1nn,Deterministic 6ch 1-NN,90.0,100,20,1,20.371603379452864,0.0,90.00000000000001,120.00000000000001,0.76,0.07,0.04,0.0,0.01
strong_1nn,Deterministic 6ch 1-NN,120.0,100,20,1,30.64920427550662,0.0,128.68218745348943,128.68218745348943,0.66,0.13,0.01,0.0,0.0
strong_1nn,Deterministic 6ch 1-NN,150.0,100,20,1,27.2768760402102,0.0,120.00000000000001,150.0,0.73,0.13,0.06,0.0,0.02
strong_1nn,Deterministic 6ch 1-NN,180.0,100,20,1,32.416657113329826,0.0,149.99999999999997,179.99999999999997,0.66,0.15,0.12,0.01,0.05
strong_1nn,Deterministic 6ch 1-NN,210.0,100,20,1,35.15783281965425,0.0,128.68218745348943,151.04497562814015,0.62,0.14,0.06,0.0,0.01
strong_1nn,Deterministic 6ch 1-NN,240.0,100,20,1,37.70048610982075,0.0,128.68218745348946,138.59037789072914,0.65,0.22,0.04,0.0,0.0
strong_1nn,Deterministic 6ch 1-NN,270.0,100,20,1,21.854946266123036,0.0,119.99999999999999,150.0,0.75,0.12,0.05,0.01,0.02
strong_1nn,Deterministic 6ch 1-NN,300.0,100,20,1,18.755008885237274,0.0,120.00000000000001,128.68218745348943,0.79,0.11,0.02,0.0,0.0
strong_1nn,Deterministic 6ch 1-NN,330.0,100,20,1,20.029136455512127,0.0,82.81924421854174,128.68218745348946,0.76,0.09,0.03,0.0,0.01
