arm,arm_display,theta_true_deg,phi_true_deg,prediction_rows,object_count,seed_count,great_circle_mean_deg,great_circle_median_deg,great_circle_p90_deg,great_circle_p95_deg,top1_acc,tail_rate_gt90_deg,tail_rate_ge150_deg,near_antipodal_rate_ge165_lt180,exact_antipodal_rate_180,direction_index
rect_ifft,Rect-IFFT MLP,90.0,0.0,140,20,7,81.15227000372751,15.000000953674316,180.0,180.0,0.5,0.4714285714285714,0.42142857142857143,0.0,0.36428571428571427,24
rect_ifft,Rect-IFFT MLP,90.0,30.0,140,20,7,75.71443345206124,60.00000762939453,180.0,180.0,0.4357142857142857,0.42142857142857143,0.2857142857142857,0.0,0.2357142857142857,25
rect_ifft,Rect-IFFT MLP,90.0,60.0,140,20,7,62.01087138312204,60.000003814697266,180.0,180.0,0.39285714285714285,0.2785714285714286,0.17857142857142858,0.0,0.12142857142857143,26
rect_ifft,Rect-IFFT MLP,90.0,90.0,140,20,7,88.50000010899134,30.000001907348633,180.0,180.0,0.45714285714285713,0.4857142857142857,0.4857142857142857,0.0,0.4642857142857143,27
rect_ifft,Rect-IFFT MLP,90.0,120.0,140,20,7,64.30680119650704,30.000001907348633,180.0,180.0,0.45,0.35,0.19285714285714287,0.0,0.15,28
rect_ifft,Rect-IFFT MLP,90.0,150.0,140,20,7,85.09091190610613,90.0,180.0,180.0,0.32142857142857145,0.4642857142857143,0.30714285714285716,0.0,0.2714285714285714,29
rect_ifft,Rect-IFFT MLP,90.0,180.0,140,20,7,84.73588094711303,35.70481204986572,180.0,180.0,0.4357142857142857,0.45,0.44285714285714284,0.0,0.4142857142857143,30
rect_ifft,Rect-IFFT MLP,90.0,210.0,140,20,7,63.55180210386004,15.000000953674316,180.0,180.0,0.5,0.32857142857142857,0.2571428571428571,0.0,0.24285714285714285,31
rect_ifft,Rect-IFFT MLP,90.0,240.0,140,20,7,60.88735147203718,60.000003814697266,180.0,180.0,0.4,0.32142857142857145,0.11428571428571428,0.0,0.1,32
rect_ifft,Rect-IFFT MLP,90.0,270.0,140,20,7,51.000000040871754,0.0,180.0,180.0,0.6857142857142857,0.29285714285714287,0.29285714285714287,0.0,0.21428571428571427,33
rect_ifft,Rect-IFFT MLP,90.0,300.0,140,20,7,59.30585276739938,30.000001907348633,180.0,180.0,0.4642857142857143,0.2642857142857143,0.21428571428571427,0.0,0.18571428571428572,34
rect_ifft,Rect-IFFT MLP,90.0,330.0,140,20,7,90.65438559395926,90.0,180.0,180.0,0.3,0.4785714285714286,0.36428571428571427,0.0,0.3,35
rect_ifft,Rect-IFFT MLP,120.0,0.0,140,20,7,21.729967376164026,0.0,120.00000762939453,120.00000762939453,0.7071428571428572,0.12857142857142856,0.007142857142857143,0.0,0.007142857142857143,36
rect_ifft,Rect-IFFT MLP,120.0,30.0,140,20,7,23.145424325125557,0.0,90.0,120.00000762939453,0.7428571428571429,0.09285714285714286,0.007142857142857143,0.0,0.0,37
rect_ifft,Rect-IFFT MLP,120.0,60.0,140,20,7,21.46265345982143,0.0,102.50392150878906,128.68218994140625,0.7142857142857143,0.11428571428571428,0.014285714285714285,0.0,0.0,38
