object_code,sample_id,theta_deg,phi_deg,frequency_ghz,etheta_real,etheta_imag,ephi_real,ephi_imag
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.89999998,-0.360642433,0.146521971,-0.00119645079,-0.00266928226
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.91000003,-0.308065325,0.261731565,-0.00213318202,-0.00222801371
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.92000002,-0.225730971,0.358830482,-0.00297675258,-0.00153009943
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.93000001,-0.122878164,0.43236202,-0.00367669249,-0.000552940415
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.94,-0.0111692911,0.48227635,-0.00413572555,0.000679028104
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.94999999,0.0964620262,0.514265478,-0.00428207871,0.00203911192
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.95999998,0.184819177,0.535880029,-0.00414312445,0.00329961651
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.97000003,0.235394865,0.544641972,-0.00380741758,0.0041656564
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.98000002,0.241880491,0.51628834,-0.00324307242,0.00441106455
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.99000001,0.231033027,0.433624595,-0.00233654957,0.00414393004
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,1,0.226065978,0.320111513,-0.00121906272,0.00364607084
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.1,-0.0422284678,-0.0161468983,0.000205692035,0.000214675136
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.11,-0.108323179,-0.0175188538,0.000266037794,-3.91438516e-05
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.12,-0.197616234,0.0213763434,7.98075598e-06,-0.000276093342
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.13,-0.260979086,0.114335969,-0.000442329125,-0.00019520511
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.14,-0.245279387,0.245032594,-0.000694633287,0.000294011988
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.15000001,-0.130193636,0.36013937,-0.00041400778,0.000892310869
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.16,0.0555440411,0.395660579,0.000334097218,0.00109534152
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.17,0.243574232,0.318449974,0.00105928641,0.000633087708
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.18000001,0.360083669,0.149232119,0.00122566801,-0.000248520693
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.19,0.365045995,-0.0482865125,0.000711668516,-0.000963743019
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.2,0.270511806,-0.203567311,-9.13368931e-05,-0.00107964932
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.20999999,0.127317473,-0.275592834,-0.000642528001,-0.000658016361
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.22,-0.00779669033,-0.266598642,-0.000716361799,-0.000125458595
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.23,-0.100923076,-0.208590582,-0.000515717024,0.000167677776
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.23999999,-0.148700699,-0.137109369,-0.000363192754,0.000234079023
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.25,-0.165883407,-0.0721786469,-0.000340162922,0.00031500496
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.25999999,-0.167186737,-0.0164491925,-0.000260165281,0.000529587909
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.27000001,-0.157715574,0.0343680754,4.33763234e-05,0.000724995567
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.28,-0.135547459,0.081081003,0.000485838391,0.00067279808
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.28999999,-0.0995784998,0.118780151,0.000822925067,0.000339605962
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.30000001,-0.0538809635,0.141563505,0.000918117817,-0.000102666912
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.31,-0.00577539764,0.147502869,0.000832449994,-0.000508603756
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.31999999,0.0386615619,0.139154986,0.000636435405,-0.000898996252
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.33000001,0.0776798427,0.131210402,0.000293429592,-0.00138224056
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.34,0.118318044,0.128098994,-0.000421000441,-0.00191101059
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.34999999,0.163081095,0.119918637,-0.00163983367,-0.0020439676
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.36000001,0.213136896,0.106076583,-0.00300626527,-0.00138387794
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.37,0.270065546,0.084937498,-0.00388934533,1.92006937e-05
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.38,0.334912568,0.051762294,-0.00393425301,0.00156703603
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.38999999,0.404388905,-0.00281627709,-0.00348117459,0.00262707961
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.40000001,0.46590507,-0.0901417732,-0.00327415392,0.00326244696
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.41,0.496270478,-0.215400875,-0.00353975478,0.00435451232
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.41999999,0.468080252,-0.367948323,-0.00331108086,0.00671361946
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.43000001,0.362760097,-0.517727017,-0.000916813791,0.00981372222
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.44,0.183524966,-0.62303406,0.00443070987,0.0114450166
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.44999999,-0.0403018594,-0.647262514,0.0112257116,0.00902082212
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.46000001,-0.261804372,-0.575443506,0.0159219652,0.00179525872
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.47,-0.433908731,-0.420884579,0.0150967557,-0.00783633161
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.47999999,-0.526078463,-0.218543857,0.0080500422,-0.0153188463
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.49000001,-0.531630039,-0.0100932932,-0.00226699514,-0.0167640056
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.5,-0.463793397,0.170161441,-0.01091938,-0.0115623269
