object_code,sample_id,theta_deg,phi_deg,frequency_ghz,etheta_real,etheta_imag,ephi_real,ephi_imag
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.91000003,-0.294733703,0.245808199,-0.000205178076,0.000442434131
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.92000002,-0.216372192,0.341176093,-0.000516427273,3.70724883e-05
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.93000001,-0.116936155,0.41358003,-0.00122386636,0.0002198203
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.94,-0.00744621782,0.462848365,-0.00169762387,0.0011339956
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.94999999,0.100147307,0.493462205,-0.00145572459,0.00235258648
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.95999998,0.190539092,0.511174798,-0.000579118379,0.00320517691
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.97000003,0.24346678,0.5135355,0.000336975965,0.00326202903
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.98000002,0.249672323,0.479791522,0.000714276684,0.00258917827
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.99000001,0.233546332,0.396835148,0.000504230266,0.00170827622
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,1,0.220153511,0.289124727,8.67417839e-05,0.00120066758
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.1,-0.100037664,-0.0231625065,-2.00497816e-05,-0.000101877973
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.11,-0.18447113,0.0195470601,-0.000130321365,-9.79856704e-05
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.12,-0.262394607,0.105256818,-0.000237352506,-1.09697539e-05
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.13,-0.28730312,0.222408444,-0.000267645722,0.000143743731
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.14,-0.225893274,0.343872637,-0.000174792935,0.000300259417
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.15000001,-0.0812214687,0.425816864,2.11348288e-05,0.000370941241
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.16,0.108720303,0.425568104,0.000236438049,0.000300611457
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.17,0.285024047,0.327439815,0.000368294597,0.000107273343
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.18000001,0.391341805,0.154174328,0.000355306664,-0.000124016427
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.19,0.397902459,-0.0423805788,0.000212780666,-0.000292058656
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.2,0.312778592,-0.205213398,1.75643199e-05,-0.00033941897
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.20999999,0.174194366,-0.296865523,-0.000145927028,-0.000278743013
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.22,0.0293349605,-0.311431259,-0.000237436994,-0.000168558705
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.23,-0.0871625766,-0.268962055,-0.000272328471,-6.06484355e-05
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.23999999,-0.163145438,-0.198466286,-0.000287117204,3.75798081e-05
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.25,-0.204243436,-0.1216617,-0.000290514494,0.000155143702
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.25999999,-0.221155196,-0.0469194129,-0.000243750503,0.000311038224
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.27000001,-0.219352275,0.0257735252,-9.09275259e-05,0.000469466147
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.28,-0.197595432,0.0957307667,0.000180751929,0.000539276574
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.28999999,-0.153754562,0.156648174,0.000499619753,0.000427905819
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.30000001,-0.0910802782,0.199069858,0.000727512059,0.000115768315
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.31,-0.0189935695,0.216714591,0.000736300077,-0.00030549147
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.31999999,0.0518732369,0.210265204,0.000494201202,-0.000669428846
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.33000001,0.116551302,0.20144777,0.000132696456,-0.000882666034
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.34,0.18706879,0.19792214,-0.000247823336,-0.00095258106
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.34999999,0.270457804,0.181194246,-0.000575537386,-0.000885428803
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.36000001,0.367687434,0.141049266,-0.000809621881,-0.000808340847
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.37,0.470021874,0.0647987947,-0.00105192151,-0.000839632179
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.38,0.55721277,-0.0545947962,-0.00150177069,-0.000954032876
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.38999999,0.602563202,-0.211106017,-0.00229888246,-0.000914609351
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.40000001,0.583129942,-0.383871675,-0.00333807804,-0.000356593227
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.41,0.489903867,-0.542531073,-0.00419345126,0.000981944962
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.41999999,0.332412422,-0.656879723,-0.00425160909,0.00300155627
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.43000001,0.13543433,-0.706079304,-0.00303027732,0.00513446843
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.44,-0.0696825236,-0.683478415,-0.000519670488,0.00651037507
b80b,b80b_pec_ti090_pi000,90.0,0.0,0.44999999,-0.254050374,-0.595844746,0.00267078006,0.00635545235
